Sr.no,Reserve,KillID,SampleID,SampleType,SampleCategory,Season,Species,AllSNPTyped,FilteredSNP,IndSuccess
1,Kanha2017,C01-KTR17-03,C01-KTR17-03-SH01,SHED HAIR,Post predation,Winter,Tiger,7,7,No
2,Kanha2017,C01-KTR17-03,C01-KTR17-03-SL01,SALIVA,Post predation,Winter,Tiger,41,39,No
3,Kanha2017,C01-KTR17-03,C01-KTR17-03-SL02,SALIVA,Post predation,Winter,Tiger,58,56,Yes
4,Kanha2017,C01-KTR17-03,C01-KTR17-03-SL03,SALIVA,Post predation,Winter,Tiger,21,21,No
5,Kanha2017,C01-KTR17-07,C01-KTR17-07-SL01,SALIVA,Predation,Winter,Tiger,46,44,Yes
6,Kanha2017,C01-KTR17-07,C01-KTR17-07-SL02,SALIVA,Post predation,Winter,Tiger,108,100,Yes
7,Kanha2017,C01-KTR17-07,C01-KTR17-07-SL03,SALIVA,Post predation,Winter,Tiger,91,87,Yes
8,Kanha2017,C01-KTR17-118,C01-KTR17-118-SH01,SHED HAIR,Post predation,Monsoon,Tiger,74,71,Yes
9,Kanha2017,C01-KTR17-118,C01-KTR17-118-SL01,SALIVA,Post predation,Monsoon,Tiger,78,75,Yes
10,Kanha2017,C01-KTR17-118,C01-KTR17-118-SL02,SALIVA,Post predation,Monsoon,Tiger,25,24,No
11,Kanha2017,C01-KTR17-119,C01-KTR17-119-SH01,SHED HAIR,Post predation,Monsoon,Tiger,75,72,Yes
12,Kanha2017,C01-KTR17-11,C01-KTR17-11-SH01,SHED HAIR,Post predation,Winter,Tiger,83,80,Yes
13,Kanha2017,C01-KTR17-11,C01-KTR17-11-SL01,SALIVA,Post predation,Winter,Tiger,62,59,Yes
14,Kanha2017,C01-KTR17-11,C01-KTR17-11-SL02,SALIVA,Post predation,Winter,Tiger,29,27,No
15,Kanha2017,C01-KTR17-11,C01-KTR17-11-SL03,SALIVA,Post predation,Winter,Tiger,41,38,No
16,Kanha2017,C01-KTR17-120,C01-KTR17-120-SH01,SHED HAIR,Post predation,Monsoon,Tiger,101,97,Yes
17,Kanha2017,C01-KTR17-120,C01-KTR17-120-SL01,SALIVA,Post predation,Monsoon,Tiger,93,87,Yes
18,Kanha2017,C01-KTR17-120,C01-KTR17-120-SL02,SALIVA,Post predation,Monsoon,Tiger,54,52,Yes
19,Kanha2017,C01-KTR17-121,C01-KTR17-121-SC01,SCAT,Post predation,Monsoon,Tiger,72,68,Yes
20,Kanha2017,C01-KTR17-121,C01-KTR17-121-SC02,SCAT,Post predation,Monsoon,Tiger,59,56,Yes
21,Kanha2017,C01-KTR17-121,C01-KTR17-121-SL01,SALIVA,Predation,Monsoon,Tiger,69,67,Yes
22,Kanha2017,C01-KTR17-121,C01-KTR17-121-SL02,SALIVA,Post predation,Monsoon,Tiger,39,37,No
23,Kanha2017,C01-KTR17-121,C01-KTR17-121-SL03,SALIVA,Post predation,Monsoon,Tiger,40,39,No
24,Kanha2017,C01-KTR17-122,C01-KTR17-122-SC04,SCAT,Post predation,Monsoon,Tiger,101,96,Yes
